Number,"Asset Key","Asset Definition",Status,Service,"Access Point"
270095,08:26:97:94:65:93,zyxel,"Not Available",1251746890,
284637,08:26:97:84:c8:0d,Zyxel,"Not Available",1251788343,
250618,08:26:97:84:8a:69,zyxel,"Not Available",1251696130,
271677,08:26:97:94:d0:2b,zyxel,"Not Available",1251756680,
292137,4C:C5:3E:5F:1B:C9,Zyxel,"Not Available",1251817074,
238393,08:26:97:70:c5:21,zyxel,"Not Available",1251663294,
255303,08:26:97:89:60:5d,Zyxel,"Not Available",1251709547,
274878,08:26:97:95:08:83,Zyxel,"Not Available",1251764434,
299483,4c:c5:3e:72:ce:89,Zyxel,"Not Available",1251826239,
257906,08:26:97:89:5b:89,Zyxel,"Not Available",1251721980,
281092,4C:C5:3E:5F:0E:F1,Zyxel,"Not Available",1251764654,
282676,08:26:97:94:1d:1b,Zyxel,"Not Available",1548850,
245313,08:26:97:7b:6e:fd,zyxel,"Not Available",1251686600,
285061,4c:c5:3e:72:91:a5,Zyxel,"Not Available",1251795892,
272033,08:26:97:84:a9:89,Zyxel,"Not Available",1251761489,
299875,4C:C5:3E:73:36:69,Zyxel,"Not Available",1251832012,
245348,08:26:97:70:cf:ad,zyxel,"Not Available",1523737,
250941,08:26:97:7c:6d:49,zyxel,"Not Available",1251690907,
275201,4C:C5:3E:5F:07:A1,Zyxel,"Not Available",1251771905,
258215,08:26:97:84:c8:c1,Zyxel,"Not Available",1251725043,
281337,4c:c5:3e:5f:07:dd,zyxel,"Not Available",1251783100,
239516,08:26:97:70:D0:A9,zyxel,"Not Available",1251657405,
264618,08:26:97:89:5a:09,Zyxel,"Not Available",1251658538,
282993,4c:c5:3e:5e:d4:e9,Zyxel,"Not Available",1251790060,
246639,08:26:97:7C:A1:E1,zyxel,"Not Available",1251651512,
251741,08:26:97:7c:64:61,zyxel,"Not Available",1251696660,
274030,08:26:97:76:5D:05,zyxel,"Not Available",1251763948,
295765,4c:c5:3e:81:b8:7b,Zyxel,"Not Available",1251818784,
256981,08:26:97:7C:9C:1D,Zyxel,"Not Available",1251727749,
275472,4c:c5:3e:5e:d5:fd,Zyxel,"Not Available",1251754821,
258736,08:26:97:84:61:ad,Zyxel,"Not Available",1251728177,
281637,08:26:97:95:33:D3,Zyxel,"Not Available",1251784372,
242922,08:26:97:70:D3:79,zyxel,"Not Available",1251676245,
265604,08:26:97:95:3e:5f,Zyxel,"Not Available",1251741356,
283917,08:26:97:93:54:f3,Zyxel,"Not Available",1251792604,
270954,08:26:97:95:51:EB,Zyxel,"Not Available",1251754009,
288695,08:26:97:93:53:a3,Zyxel,"Not Available",1251798360,
298140,08:26:97:93:eb:5f,Zyxel,"Not Available",1251824183,
242949,08:26:97:72:57:eD,zyxel,"Not Available",1251670094,
247021,08:26:97:7B:61:7D,zyxel,"Not Available",1251692369,
270980,08:26:97:7B:46:59,Zyxel,"Not Available",1251754101,
252078,08:26:97:84:91:11,zyxel,"Not Available",1251697144,
274275,08:26:97:7C:63:B9,Zyxel,"Not Available",1251766804,
257250,08:26:97:89:59:31,zyxel,"Not Available",1251715630,
259071,08:26:97:7c:6b:21,zyxel,"Not Available",1251730353,
243298,08:26:97:7c:61:a9,zyxel,"Not Available",1251678694,
269200,08:26:97:95:3e:23,Zyxel,"Not Available",1251757824,
284186,4C:C5:3E:5F:41:A9,Zyxel,"Not Available",1251790741,
250105,08:26:97:7c:66:41,Zyxel,"Not Available",1251690180,
271243,08:26:97:94:6d:43,Zyxel,"Not Available",1251756251,
291608,4c:c5:3e:72:95:4d,Zyxel,"Not Available",1251813972,
252637,08:26:97:84:7f:c5,zyxel,"Not Available",46956,
274516,08:26:97:7B:60:99,Zyxel,"Not Available",1251762468,
257497,08:26:97:7b:47:6d,Zyxel,"Not Available",1251720596,
276312,98:0D:67:F7:A1:80,Zyxel,"Not Available",1251777999,
281995,08:26:97:94:1c:eb,Zyxel,"Not Available",1251752780,
269506,08:26:97:88:e9:11,Zyxel,"Not Available",1251828952,
284513,4c:c5:3e:5f:21:15,Zyxel,"Not Available",1251764552,
291925,4c:c5:3e:72:93:0d,Zyxel,"Not Available",1251814221,
96271,08:26:97:61:51:23,zyxel,"Not Available",1251672277,
243743,08:26:97:6b:a7:96,zyxel,"Not Available",1251681863,
269534,08:26:97:84:bf:91,Zyxel,"Not Available",1487350,
250479,08:26:97:7C:A9:9D,Zyxel,"Not Available",1251696816,
271565,08:26:97:84:E0:9D,Zyxel,"Not Available",1251754367,
291963,08:26:97:93:f6:03,Zyxel,"Not Available",1251816218,
236975,98:0d:67:f3:2a:64,zyxel,"Not Available",1251668783,
255109,08:26:97:84:C8:19,Zyxel,"Not Available",1670341,
274755,4C:C5:3E:5F:16:7D,Zyxel,"Not Available",1251743474,
298999,4c:c5:3e:72:9b:d1,Zyxel,"Not Available",1251825537,
257774,08:26:97:84:CE:0D,Zyxel,"Not Available",1251722365,
263217,08:26:97:84:c3:c9,Zyxel,"Not Available",1251735504,
282533,4C:C5:3E:72:1D:AD,Zyxel,"Not Available",1251781090,
244912,08:26:97:7b:69:99,zyxel,"Not Available",1251685343,
270205,08:26:97:84:a7:01,Zyxel,"Not Available",1251747536,
284872,08:26:97:93:53:c7,Zyxel,"Not Available",1251786809,
250747,c8:54:4b:26:d7:b3,zyxel,"Not Available",1251702492,
271809,08:26:97:84:5e:b9,Zyxel,"Not Available",1251760448,
292316,4C:C5:3E:7A:64:58,Zyxel,"Not Available",1251817979,
255434,08:26:97:84:93:BD,zyxel,"Not Available",1251710848,
275022,4C:C5:3E:5E:CC:D9,zyxel,"Not Available",1251766508,
299672,4C:C5:3E:72:D5:79,Zyxel,"Not Available",1251830956,
258022,08:26:97:7c:aa:99,Zyxel,"Not Available",1251717245,
282813,08:26:97:93:DB:33,Zyxel,"Not Available",1251777493,
285208,4c:c5:3e:5f:12:45,Zyxel,"Not Available",1251800121,
262189,08:26:97:84:91:1d,zyxel,"Not Available",1251729930,
269719,08:26:97:94:cc:23,Zyxel,"Not Available",1251743338,
284559,08:26:97:76:62:F9,zyxel,"Not Available",1251796443,
250560,08:26:97:7c:6d:85,Zyxel,"Not Available",1251697240,
271594,08:26:97:89:5a:8d,Zyxel,"Not Available",1251758820,
292027,4c:c5:3e:72:92:ad,Zyxel,"Not Available",1251801884,
255220,08:26:97:84:88:7d,zyxel,"Not Available",1251709458,
274785,08:26:97:95:09:1F,Zyxel,"Not Available",1251760304,
299054,4C:C5:3E:7A:6C:68,Zyxel,"Not Available",1251822215,
257829,08:26:97:84:8a:75,Zyxel,"Not Available",1251714830,
281018,08:26:97:94:18:77,Zyxel,"Not Available",1251777643,
263259,08:26:97:7b:49:a1,Zyxel,"Not Available",1251606034,
282613,08:26:97:84:7f:41,Zyxel,"Not Available",1251784955,
244957,08:26:97:72:57:5d,zyxel,"Not Available",1251685691,
270245,08:26:97:93:50:eb,zyxel,"Not Available",1251744586,
284931,4c:c5:3e:5e:b0:41,Zyxel,"Not Available",1251796516,
250808,98:0d:67:f2:f7:4c,zyxel,"Not Available",1251764530,
271899,08:26:97:93:46:6B,Zyxel,"Not Available",1251753338,
292437,4c:c5:3e:7a:6f:e0,zyxel,"Not Available",1251829561,
275057,08:26:97:95:0E:8F,Zyxel,"Not Available",1251757173,
299774,08:26:97:84:65:F1,Zyxel,"Not Available",1594694,
256546,08:26:97:89:57:81,zyxel,"Not Available",1251714622,
264270,08:26:97:84:a8:8d,Zyxel,"Not Available",1251737968,
282950,4C:C5:3E:5F:45:C9,Zyxel,"Not Available",1251789855,
246508,08:26:97:7b:69:b1,zyxel,"Not Available",1251663739,
270560,08:26:97:64:ec:95,Zyxel,"Not Available",1251740792,
